new_num,new_dir,new_street,old_num,old_dir,old_street,duplicate
1437,w,Winnemac,949,w,Winnemac,
1441,w,Winnemac,953,w,Winnemac,
1513,w,Winnemac,819,w,Winnemac,
1515,w,Winnemac,821,w,Winnemac,
1719,w,Winnemac,699,w,Winnemac,
1757,w,Winnemac,621,w,Winnemac,
1763,w,Winnemac,615,w,Winnemac,
1765,w,Winnemac,613,w,Winnemac,
1767,w,Winnemac,611,w,Winnemac,
1771,w,Winnemac,609,w,Winnemac,
1773,w,Winnemac,605,w,Winnemac,
1775,w,Winnemac,601,w,Winnemac,
2239,w,Winnemac,na,,na,No address listed
2219,w,Winnemac,ofOkly,w,Winnemac,"listed as 2219e for new address, ofOkly for old"
2257,w,Winnemac,701,w,Winnemac,
2303,w,Winnemac,55,w,Winnemac,
2307,w,Winnemac,51,w,Winnemac,
2309,w,Winnemac,49,w,Winnemac,
2319,w,Winnemac,41,w,Winnemac,
2325,w,Winnemac,35,w,Winnemac,
2333,w,Winnemac,27,w,Winnemac,
2335,w,Winnemac,23,w,Winnemac,
2337,w,Winnemac,21,w,Winnemac,
2339,w,Winnemac,19,w,Winnemac,
2343,w,Winnemac,17,w,Winnemac,
2345,w,Winnemac,15,w,Winnemac,
2401,w,Winnemac,3031,w,Winnemac,
2403,w,Winnemac,6w,w,Winnemac,All new addresses higher than this are west of Western
2407,w,Winnemac,8w,w,Winnemac,
2409,w,Winnemac,12w,w,Winnemac,
2411,w,Winnemac,14w,w,Winnemac,
2415,w,Winnemac,16w,w,Winnemac,
2417,w,Winnemac,18,w,Winnemac,
2419,w,Winnemac,20,w,Winnemac,
2423,w,Winnemac,24,w,Winnemac,
2429,w,Winnemac,30-32,w,Winnemac,
2433,w,Winnemac,34,w,Winnemac,
2533,w,Winnemac,96,w,Winnemac,
5325,w,Winnemac,11944,w,Winnemac,This is a far West number; check if other things were in between 2533 and 5325 Winnemac
2434,w,Winnemac,37w,w,Winnemac,
2440,w,Winnemac,41w,w,Winnemac,
2522,w,Winnemac,83w,w,Winnemac,
4952,w,Winnemac,1705w,w,Winnemac,
5130,w,Winnemac,1813w,w,Winnemac,
5138,w,Winnemac,1821w,w,Winnemac,
5142,w,Winnemac,1825w,w,Winnemac,
5148,w,Winnemac,1829w,w,Winnemac,
5200,w,Winnemac,1849w,w,Winnemac,
5218,w,Winnemac,1867w,w,Winnemac,
5222,w,Winnemac,1871w,w,Winnemac,
5232,w,Winnemac,1881w,w,Winnemac,
5238,w,Winnemac,1887w,w,Winnemac,
5240,w,Winnemac,1889w,w,Winnemac,
5252,w,,1901w,w,,
5256,w,,1907w,w,,
5304,w,,1911w,w,,
5330,w,,1945w,w,,
5332,w,,1949w,w,,
5336,w,,1953w,w,,
1226,w,,1102,w,,
1234,w,,1090,w,,
1238,w,,1086,w,,
1246,w,,1080,w,,
1250,w,,1074,w,,
1254,w,,1072,w,,
1258,w,,1066,w,,
1300,w,,1060,w,,
1304,w,,1056,w,,
1306,w,,1054,w,,
1310,w,,1050,w,,
1340,w,,1018,w,,
1342,w,,1020,w,,
1424,w,,962,w,,
1430,w,,956,w,,
1434,w,,950,w,,
1448,w,,938,w,,
1454,w,,932,w,,
1456,w,,928,w,,
1462,w,,924,w,,
1516,w,,818,w,,
1518,w,,816,w,,
1608,w,,748,w,,
1610,w,,750,w,,
1614,w,,744,w,,
1618,w,,740,w,,
1620,w,,"""",w,MIght mean the old address didn't exist or it was the same as old address 740/new address 1618,
1622,w,,738,w,,
1626,w,,732,w,,
1628,w,,730,w,,
1632,w,,728,w,,
1634,w,,726,w,,
1636,w,,720,w,,
1638,w,,718,w,,
1640,w,,716,w,,
1706,w,,708,w,,
1708,w,,706,w,,
1710,w,,704,w,,
1716,w,,664,w,,
1740,w,,642,w,,
1744,w,,636,w,,
1750,w,,628,w,,
1754,w,,626,w,,
1756,w,,624,w,,
1774,w,,606,w,,
1776,w,,602,w,,
1802,w,,556,w,,
1806,w,,550,w,,
1810,w,,544,w,,
1812,w,,542,w,,
1918,w,,498,w,,
1922,w,,492,w,,
1926,w,,490,w,,
1930,w,,488,w,,
2000,w,,na,w,,
2002,w,,na,w,,
2030,w,,334,w,,
2046,w,,316,w,,
2216,w,,144,w,,
2112,w,,560,w,,
2238,w,,122,w,,
2240,w,,120,w,,
2242,w,,116,w,,
2246,w,,114,w,,
2248,w,,112,w,,
2250,w,,110,w,,
2252,w,,108,w,,
2300,w,,60,w,,
2306,w,,54,w,,
2308,w,,52,w,,
2310,w,,48,w,,
2314,w,,44,w,,
2316,w,,42,w,,
2332,w,,26,w,,
2338,w,,20,w,,
2342,w,,16,w,,
2414,w,,17w,w,,
2418,w,,19w,w,,
2420,w,,21w,w,,
2422,w,,23w,w,,
2424,w,,27w,w,,
2430,w,,31w,w,,
2432,w,,33w,w,,
